ISBN,Popularity_Class
0525946233,tail
0060977493,tail
0316779237,tail
0060930187,tail
0060929871,tail
0743436210,tail
014023313X,tail
0156528207,tail
0064407675,tail
0440136482,tail
0345416260,tail
0670032379,tail
0804114609,tail
042513525X,tail
0767900383,tail
0060921145,tail
0515135062,tail
0060086386,tail
0671693816,tail
0688170528,tail
037570504X,tail
0743412028,tail
0345397819,tail
0425118703,tail
0671642561,tail
0446520802,tail
0375756981,tail
0446603716,tail
067944999X,tail
0345402871,tail
0316693251,tail
0140177396,tail
1592400876,tail
0316168688,tail
0345339738,tail
1576737330,tail
0671442686,tail
0446611085,tail
0312983301,tail
0743417682,tail
0142001430,tail
0805062971,tail
0385490992,tail
0671038184,tail
0345423402,tail
0060916508,tail
0836218787,tail
0446677450,tail
0385502532,tail
0440200563,tail
0679785892,tail
0440108268,tail
0553562738,tail
0375401598,tail
0553280368,tail
0590660543,tail
0812575237,tail
0380728133,tail
0515102636,tail
0380820145,tail
0375411550,tail
0140179836,tail
0812517725,tail
0140042598,tail
0449006344,tail
0440180295,tail
0553258524,tail
0375706062,tail
038548951X,tail
0743457358,tail
0425178579,tail
0425181685,tail
0671742493,tail
0385336772,tail
0060391626,tail
0446604801,tail
014100018X,tail
042513699X,tail
0345334531,tail
0373250134,tail
0553375407,tail
0345422384,tail
0671001132,tail
0060248025,tail
0740704818,tail
0743203631,tail
0671673688,tail
0375702709,tail
0064407691,tail
0064407683,tail
0312983298,tail
0878578730,tail
0671867113,tail
051513287X,tail
0345348109,tail
0385336179,tail
0679426159,tail
0425117383,tail
0385323638,tail
0345386108,tail
014034019X,tail
0385720955,tail
0553106643,tail
0312955006,tail
0385492081,tail
1551669412,tail
0684862719,tail
0441790348,tail
0385491026,tail
0446364762,tail
0385493800,tail
006093090X,tail
0440168724,tail
0812570944,tail
0452266564,tail
0671867156,tail
0446611212,tail
0385315309,tail
0316780375,tail
0345413881,tail
0156007754,tail
0449910571,tail
0425169693,tail
042510687X,tail
0425162443,tail
0743454146,tail
0670868361,tail
0451166884,tail
0446394521,tail
0679879242,tail
0446609323,tail
0451161343,tail
0826308791,tail
0316710571,tail
0140186409,tail
0684800713,tail
0553295977,tail
0671027646,tail
038533303X,tail
0684867621,tail
0743206029,tail
0451208765,tail
0553299506,tail
0671741187,tail
0425128164,tail
0425127583,tail
0836218051,tail
0425101452,tail
067150987X,tail
0380759489,tail
1400031362,tail
0385508417,tail
0316693324,tail
0440201926,tail
0743460529,tail
0345360001,tail
0446675059,tail
0517556278,tail
0671744216,tail
034529873X,tail
0156711427,tail
0743469801,tail
0425132951,tail
0440222842,tail
0449219461,tail
0142000663,tail
0380002450,tail
0445406518,tail
0449006530,tail
0375400117,tail
0425161242,tail
0345436911,tail
0394404289,tail
0380978415,tail
0060562080,tail
0440241537,tail
043936213X,tail
0061020710,tail
0451207246,tail
0515128554,tail
0515126772,tail
051511992X,tail
0553274503,tail
080410526X,tail
006099486X,tail
0446359866,tail
0804105820,tail
0671695126,tail
0449134482,tail
0312284683,tail
0525945210,tail
0064409422,tail
0064471063,tail
0440241162,tail
0671028375,tail
0380400480,tail
0553212478,tail
0446343455,tail
0312421273,tail
0064405052,tail
0446532452,tail
0684801221,tail
0380752859,tail
0679751602,tail
0553561618,tail
0345380371,tail
0451167716,tail
0310205719,tail
0399149325,tail
0671871005,tail
0345403339,tail
0452281784,tail
0373484224,tail
0373218400,tail
0312201656,tail
0553258001,tail
0375412824,tail
0064401847,tail
0373250185,tail
074343627X,tail
0345369947,tail
0375411992,tail
0373250258,tail
0373250282,tail
0440221595,tail
0375760628,tail
0449221504,tail
0553277537,tail
1555910807,tail
1558532161,tail
0842332251,tail
0316779490,tail
0140328696,tail
0312950586,tail
0345392825,tail
0553256696,tail
0451173317,tail
0380807343,tail
0446525502,tail
0452283205,tail
0394820371,tail
0373484410,tail
0373484003,tail
0440487617,tail
0679731148,tail
0679742298,tail
0373250207,tail
0807083054,tail
0385507607,tail
0316693200,tail
034541389X,tail
006017143X,tail
0441008534,tail
0380978407,tail
0671759345,tail
0385729340,tail
0886777844,tail
0140481346,tail
0312983867,tail
0553380095,tail
0345459202,tail
0515119784,tail
0553582127,tail
0446607711,tail
0515122734,tail
0553377868,tail
0375705198,tail
0316603287,tail
0373250126,tail
0064400018,tail
0440224624,tail
0373250118,tail
0671793489,tail
038549081X,tail
0836218620,tail
0061097314,tail
0553280945,tail
0446673544,tail
0380717018,tail
0842329269,tail
0688180639,tail
0451141083,tail
0060652934,tail
0440400759,tail
0060964049,tail
0345452569,tail
0446527785,tail
0679441018,tail
0689710879,tail
0373250290,tail
0440237688,tail
345305136X,tail
0060927569,tail
015600710X,tail
0380818973,tail
0060504072,tail
0385491050,tail
0671705091,tail
0441005241,tail
0425175405,tail
0743224574,tail
0440224845,tail
067102535X,tail
0451160525,tail
0064408655,tail
0767902521,tail
8495501090,tail
0679457526,tail
0061096113,tail
0060393211,tail
1558745718,tail
0786890436,tail
039914613X,tail
0425172546,tail
0449911446,tail
0064407055,tail
0060981180,tail
0373250215,tail
052594527X,tail
0064405176,tail
0671027344,tail
0425181464,tail
0671034057,tail
0156423502,tail
0451458125,tail
0440439884,tail
0671749412,tail
0671870114,tail
0380726815,tail
0380714752,tail
193156146X,tail
038039586X,tail
0553582526,tail
0452260116,tail
0060987049,tail
0446530522,tail
0553278592,tail
0553578693,tail
0060977744,tail
0451204956,tail
1563890119,tail
0553272535,tail
0671726889,tail
014034294X,tail
1853260622,tail
0451160312,tail
0399147128,tail
0345354613,tail
0060517794,tail
0671014919,tail
0394800133,tail
0373484836,tail
0804108293,tail
0671791974,tail
0440225825,tail
0345377648,tail
1573225517,tail
0312187106,tail
061810450X,tail
0399141146,tail
0679733760,tail
0373250193,tail
0156628708,tail
0786883367,tail
0671695304,tail
0451206673,tail
0312924801,tail
0140067779,tail
0316693235,tail
0345422783,tail
0679454497,tail
0553582747,tail
0553801430,tail
067100042X,tail
1558748865,tail
0812548051,tail
0740723367,tail
0385285965,tail
0060740450,tail
0515111279,tail
0028604199,tail
0375501371,tail
014018869X,tail
0140254544,tail
0140430725,tail
0312203039,tail
0345384911,tail
0380725584,tail
038542471X,tail
0380762595,tail
0425130711,tail
0316781142,tail
0688177751,tail
060980619X,tail
0440203856,tail
0440173701,tail
0425098648,tail
0375412530,tail
0446600474,tail
0440904196,tail
0812967240,tail
1558745017,tail
0842384065,tail
0842329161,tail
0671867091,tail
042518109X,tail
0425182878,tail
0440224705,tail
0394587863,tail
0679412956,tail
0679732411,tail
0671880608,tail
0553280511,tail
0425188361,tail
0060532149,tail
0156028778,tail
0345450892,tail
0380752891,tail
0061000043,tail
0553250256,tail
0671038567,tail
0671759361,tail
0671670646,tail
0671443283,tail
0515132187,tail
0425147517,tail
0399142282,tail
0553572040,tail
0385498721,tail
0198117477,tail
0425129586,tail
0553578308,tail
0671867083,tail
3257229534,tail
0441172717,tail
0061099732,tail
0064400026,tail
0375703861,tail
0312974256,tail
0312978383,tail
140003065X,tail
080213825X,tail
0688177743,tail
0440122090,tail
0446526126,tail
0671829777,tail
0316287555,tail
0380820447,tail
159182415X,tail
0385479565,tail
0399147195,tail
0413537900,tail
0553293362,tail
0553262505,tail
0440174643,tail
0448095033,tail
055356983X,tail
0451188454,tail
0451451430,tail
037576092X,tail
0553287532,tail
0441000916,tail
0451160959,tail
0451147367,tail
0451124340,tail
0061057894,tail
0812510992,tail
0836236688,tail
0451523024,tail
0689829833,tail
0679853065,tail
0517554399,tail
0449221482,tail
0515133973,tail
067164257X,tail
0399142789,tail
0553579754,tail
0671014196,tail
0696217120,tail
0060175400,tail
0767905202,tail
0553582364,tail
0515122491,tail
0671695142,tail
0671729462,tail
1573221112,tail
0671003682,tail
0670892742,tail
0553565915,tail
0446600342,tail
014034991X,tail
0553278355,tail
0515136379,tail
0451410742,tail
0451161351,tail
0399150854,tail
0449005909,tail
0446519138,tail
0618129022,tail
0399141065,tail
0385720467,tail
0385475721,tail
0446356859,tail
0671023616,tail
038000917X,tail
0449002985,tail
0449911004,tail
0446530891,tail
0312303467,tail
0743222008,tail
0446519081,tail
0345325818,tail
0812548094,tail
0553564528,tail
0836221192,tail
0886773520,tail
0374199698,tail
0684810387,tail
0380816555,tail
0446611808,tail
051511779X,tail
0515135739,tail
0553580221,tail
0345318854,tail
0373270976,tail
0316602051,tail
0425109720,tail
0399143947,tail
0312993536,tail
0385472943,tail
0345438329,tail
038529929X,tail
0385720920,tail
0671528904,tail
0836220986,tail
0842329250,tail
0811202208,tail
0971263906,tail
0425155404,tail
0425133540,tail
0312979975,tail
0060936231,tail
8420483532,tail
8420441708,tail
0553574752,tail
0786866586,tail
0385424728,tail
0440236169,tail
0446667900,tail
0451190750,tail
0394558235,tail
0671880314,tail
074322423X,tail
0553573403,tail
0140265686,tail
0140270590,tail
0684195984,tail
0786862564,tail
0786884592,tail
0380820293,tail
0345427637,tail
0441007813,tail
0515093556,tail
0679433015,tail
0679454489,tail
0679720200,tail
0679736395,tail
0874776945,tail
0894803204,tail
0452262143,tail
0441010512,tail
0441003745,tail
0553581554,tail
0553560247,tail
0140276904,tail
0345389964,tail
0786865504,tail
006109868X,tail
0767912233,tail
0451190564,tail
0451157443,tail
0679783571,tail
0226500578,tail
0440952522,tail
0553274325,tail
0515118656,tail
0553278223,tail
0743236742,tail
039592720X,tail
0345447840,tail
0671042572,tail
0399522115,tail
0061099155,tail
0373250452,tail
0399146253,tail
0439404371,tail
0441783589,tail
0425121259,tail
0425104346,tail
0517149257,tail
0451183665,tail
0345435028,tail
0765345048,tail
0553569058,tail
0060283130,tail
0449002632,tail
0345384377,tail
1573221937,tail
0373242328,tail
0061099325,tail
0836204387,tail
0836218256,tail
0142003727,tail
0385496095,tail
1558744630,tail
0060922532,tail
0679442790,tail
0140013997,tail
0345354621,tail
0446531332,tail
0440407524,tail
0446527793,tail
0446350982,tail
0880299053,tail
0345409469,tail
0743457536,tail
0061092606,tail
0671894455,tail
0671017128,tail
0060922249,tail
0385722192,tail
0812505166,tail
0812513738,tail
0877733759,tail
0451181379,tail
0440110653,tail
0451151259,tail
0316603570,tail
0836218817,tail
0385182449,tail
0399145702,tail
0440217563,tail
0345370805,tail
0441005489,tail
0380730847,tail
0812533054,tail
0515134368,tail
1558747109,tail
0373226063,tail
0553280147,tail
0684815451,tail
0684717972,tail
0670031062,tail
0451187903,tail
0609810103,tail
0609807900,tail
0671004565,tail
0440208149,tail
0886774012,tail
0804102988,tail
015216250X,tail
0671032658,tail
0812550307,tail
0061092886,tail
0671524313,tail
044661162X,tail
055356160X,tail
0316666009,tail
0743412621,tail
0440405483,tail
0440211891,tail
0743202988,tail
0399150838,tail
0743225082,tail
0836218981,tail
0060977477,tail
0449225046,tail
0385503466,tail
0380775840,tail
0140505393,tail
0441005748,tail
0451403967,tail
1573228230,tail
0553568701,tail
0553802496,tail
0452281423,tail
0312955731,tail
0452281458,tail
0553212451,tail
067173590X,tail
0553572326,tail
0553580191,tail
0671039741,tail
0671042262,tail
0385483503,tail
0679454470,tail
0684195488,tail
0446519723,tail
0307301451,tail
0425130258,tail
0875421180,tail
0553294385,tail
067187098X,tail
0373196636,tail
0440193613,tail
0399140093,tail
0385316348,tail
0553285920,tail
0380723085,tail
0380709546,tail
0380703882,tail
0515108030,tail
0345301110,tail
1888054557,tail
051508901X,tail
044651697X,tail
0671870963,tail
0373250312,tail
0316089699,tail
0440214114,tail
039568093X,tail
0345409876,tail
0373872127,tail
0451166604,tail
0380790947,tail
044022103X,tail
0345413369,tail
0399146296,tail
0440223237,tail
0871564300,tail
0890090572,tail
0312952716,tail
0439049989,tail
042519485X,tail
038089968X,tail
0590112899,tail
0590457225,tail
156619024X,tail
0062501860,tail
0679751114,tail
0316548189,tail
0064405079,tail
0064402053,tail
000716226X,tail
0060929596,tail
0451190491,tail
0451190548,tail
015602943X,tail
0061000280,tail
0061000175,tail
0140257934,tail
014017737X,tail
0571154913,tail
0449702766,tail
0451147960,tail
0609610597,tail
0312971230,tail
2742743537,tail
156402976X,tail
0553578944,tail
2070360024,tail
0553289411,tail
2070360423,tail
0689817851,tail
2070375161,tail
1558744606,tail
0141301066,tail
0061057363,tail
0809117541,tail
0517122707,tail
0670873926,tail
0684846004,tail
0553273213,tail
0684859777,tail
0811802981,tail
0893753564,tail
0515116246,tail
0812885406,tail
0441001971,tail
0140440224,tail
0061073628,tail
0553258540,tail
076790382X,tail
0140481389,tail
0312022824,tail
0671769316,tail
0060520507,tail
0446604658,tail
0446611611,tail
0060177888,tail
0452267404,tail
0452279178,tail
0553278746,tail
087542791X,tail
0670839531,tail
0670855030,tail
0679448594,tail
0679723110,tail
0802130348,tail
0140390448,tail
1563899809,tail
0345404475,tail
0380012057,tail
006019491X,tail
0451203895,tail
0679751343,tail
0451208862,tail
0375701907,tail
0345449347,tail
0671458531,tail
0345356578,tail
0451210638,tail
020530902X,tail
0440229707,tail
0451193881,tail
0452282195,tail
1573229350,tail
0689711522,tail
0140620222,tail
0394700023,tail
155166674X,tail
0385474547,tail
3453127013,tail
155166884X,tail
0679736379,tail
1551667517,tail
0425143325,tail
0373710615,tail
0449227944,tail
042516098X,tail
1571740562,tail
1565122968,tail
0446671223,tail
0452279607,tail
0345417976,tail
0786884622,tail
0399137769,tail
067974388X,tail
1551662604,tail
0515094978,tail
068480087X,tail
3442435951,tail
0448095017,tail
0448095041,tail
0349101779,tail
0452280621,tail
0671737848,tail
0671003593,tail
0883639335,tail
0446605581,tail
0439324599,tail
0890438439,tail
0061091316,tail
0451202244,tail
045120753X,tail
0451149513,tail
0671026011,tail
0684841185,tail
0679463070,tail
1558746986,tail
0553208845,tail
0679430946,tail
0886774268,tail
0812968379,tail
068815252X,tail
0767913973,tail
0679879269,tail
0553575414,tail
0679442588,tail
0312867867,tail
0517580497,tail
0812551478,tail
0140042229,tail
0553578022,tail
0451163966,tail
0375708111,tail
0373613695,tail
0515120618,tail
3257233116,tail
0571216420,tail
0399147853,tail
0380868768,tail
0345423291,tail
1931561230,tail
0802138578,tail
0553573985,tail
0425098605,tail
0671036505,tail
0553562614,tail
0061020699,tail
0345391837,tail
0441004326,tail
1401351964,tail
0373218036,tail
0394800184,tail
1853260339,tail
034544356X,tail
0345371984,tail
038533348X,tail
0553371010,tail
038072975X,tail
037371128X,tail
0486264645,tail
0060391448,tail
0375412557,tail
0345433491,tail
0345423097,tail
0345450914,tail
0670031909,tail
0743211936,tail
1401301061,tail
1565123638,tail
0312150601,tail
0385319037,tail
0312915799,tail
0525945040,tail
0399138749,tail
0449223604,tail
0553280414,tail
1570625190,tail
0872860175,tail
0671868691,tail
0688156819,tail
0684835983,tail
0446607193,tail
0440178002,tail
0743418719,tail
0399146652,tail
0425183130,tail
0671606840,tail
0886777399,tail
0804115761,tail
014019536X,tail
0062515888,tail
0452284937,tail
0671776134,tail
0842335986,tail
0060965177,tail
0312244266,tail
0425154882,tail
0345443683,tail
0375726349,tail
0553255762,tail
0451458923,tail
1573226122,tail
0842332278,tail
0743436466,tail
0380788624,tail
0515095826,tail
0061092614,tail
0440218535,tail
0380709538,tail
0684849739,tail
0684856603,tail
0684857340,tail
0743411323,tail
0743412273,tail
0743430999,tail
0743454529,tail
0802131786,tail
0811801802,tail
0811831620,tail
0812577701,tail
1551665301,tail
8495501465,tail
0345384210,tail
0446527165,tail
037322706X,tail
0440221501,tail
0743225406,tail
0515119644,tail
0553107232,tail
0446610100,tail
0671720147,tail
0553562398,tail
0425145638,tail
0312982518,tail
0006742939,tail
0345422392,tail
0380759500,tail
0425170349,tail
0425184226,tail
055357809X,tail
0452278120,tail
0307020673,tail
1559120177,tail
038082101X,tail
0446679593,tail
140003180X,tail
0345359321,tail
067081976X,tail
0804108749,tail
0452269571,tail
0373835876,tail
0684853515,tail
0394753518,tail
0060920084,tail
015668568X,tail
1563893428,tail
0553272837,tail
055356451X,tail
0373218966,tail
0399145990,tail
0762406984,tail
0064408647,tail
0449005844,tail
0385304900,tail
0385306024,tail
0446356875,tail
0670844527,tail
0671047329,tail
0448060191,tail
0446604275,tail
0385319525,tail
3551551677,tail
0345404114,tail
0440217520,tail
0440235936,tail
0684831066,tail
0060090383,tail
0553212621,tail
0140386335,tail
0373218397,tail
0061000027,tail
0140071814,tail
8440694539,tail
0553580906,tail
006050918X,tail
0684822652,tail
0671250671,tail
0345314255,tail
0670032077,tail
059030271X,tail
0671525808,tail
0451160916,tail
0451190521,tail
0451162072,tail
1591822246,tail
159182396X,tail
0345428544,tail
0515087122,tail
0515133876,tail
0451457811,tail
0894808249,tail
0451184726,tail
0449235998,tail
0345362861,tail
0446353205,tail
0679445358,tail
0451163524,tail
0802139256,tail
0446605409,tail
051512558X,tail
042517736X,tail
0842365826,tail
0743400453,tail
0345339495,tail
0671868713,tail
068419337X,tail
0380776510,tail
0440111498,tail
0140107649,tail
0684832291,tail
0312982615,tail
0380753014,tail
0316789089,tail
1558743316,tail
0553347187,tail
0553561537,tail
0345298349,tail
0515113328,tail
0671004549,tail
0440435749,tail
0425177173,tail
0671864173,tail
1853260002,tail
0486270629,tail
0440414806,tail
0425142485,tail
0553213148,tail
0375500316,tail
0575600306,tail
0552143243,tail
0020868308,tail
0451202856,tail
0515115649,tail
0515134384,tail
0670032891,tail
0441516645,tail
0618002235,tail
0618002243,tail
067945540X,tail
0064400050,tail
0064471055,tail
0064471071,tail
006447108X,tail
0064471098,tail
0312966199,tail
0385333137,tail
0316150460,tail
2253140872,tail
0413588106,tail
1573223425,tail
0394724550,tail
038000321X,tail
2253150185,tail
2253144452,tail
0385494246,tail
2226135022,tail
0380798565,tail
0380603926,tail
0553213059,tail
0380423901,tail
0385333412,tail
0449003981,tail
031208188X,tail
0345368991,tail
0345341678,tail
0505525526,tail
0345316002,tail
0345314484,tail
0385306032,tail
0373483503,tail
0515131679,tail
0931432820,tail
0553583395,tail
0684810395,tail
0373834489,tail
0451523385,tail
0525946829,tail
0425097609,tail
0553579606,tail
0385491107,tail
0385501560,tail
0440505941,tail
1551666189,tail
1551665204,tail
0517693119,tail
081297106X,tail
0743403614,tail
0671769200,tail
0595256368,tail
0451457994,tail
0553576798,tail
0440202043,tail
0451204530,tail
0743262174,tail
1557739404,tail
3257232608,tail
3404148665,tail
0452281636,tail
3257228007,tail
0446606324,tail
0671708635,tail
3518368540,tail
0440207770,tail
3423204206,tail
0449208109,tail
3423105518,tail
0345366239,tail
0553571818,tail
0399137378,tail
034536676X,tail
0553268945,tail
0385425473,tail
0345413377,tail
038572179X,tail
0451526562,tail
0684801051,tail
0743212002,tail
0452284295,tail
0688177867,tail
0373834365,tail
0684864843,tail
1591822580,tail
0394747232,tail
051512317X,tail
0061020702,tail
0671683993,tail
0670031720,tail
0440967694,tail
0553295772,tail
0670846503,tail
0425158594,tail
1591820073,tail
0425100650,tail
0671415085,tail
0743418131,tail
0671525425,tail
0671525433,tail
0671670689,tail
0671695169,tail
0671873202,tail
0671023934,tail
1591822572,tail
0679750169,tail
0446692298,tail
0440986524,tail
0451180410,tail
042518630X,tail
2070361039,tail
2070373630,tail
2253044903,tail
225313922X,tail
2290045764,tail
068483376X,tail
0670878847,tail
0553268937,tail
0743437802,tail
0060930934,tail
0312966806,tail
0452279690,tail
0671002031,tail
0786866276,tail
0345350685,tail
0674637526,tail
034538430X,tail
0786889209,tail
0871234017,tail
1853260231,tail
8423951537,tail
0671793543,tail
0440224810,tail
0446353957,tail
0446361739,tail
0451128370,tail
0553574566,tail
0553569619,tail
0515114693,tail
0515121843,tail
0515124214,tail
0425140032,tail
0553234811,tail
0451179285,tail
0553278827,tail
0425092178,tail
0515118397,tail
0553571583,tail
0671468200,tail
0399149562,tail
034539657X,tail
0671648144,tail
0671670662,tail
0670031208,tail
0449215296,tail
0440209412,tail
0671004530,tail
0671534734,tail
0440236061,tail
006001203X,tail
0060085444,tail
0449212084,tail
0345425308,tail
0373483902,tail
0385299109,tail
0385314388,tail
000649840X,tail
0679729771,tail
0525941908,tail
0802135161,tail
0451155750,tail
0425195139,tail
0440117437,tail
0440167531,tail
0451132378,tail
0451132343,tail
0345285549,tail
0380792745,tail
0671873199,tail
1563899388,tail
067942573X,tail
0060193395,tail
2290302155,tail
0449149900,tail
0805036377,tail
0060955775,tail
0684852225,tail
0312868855,tail
0394498216,tail
0440503531,tail
0811811409,tail
0140620338,tail
0679772677,tail
006101253X,tail
080411935X,tail
1878424114,tail
2277301000,tail
2277301043,tail
8420442402,tail
8420483125,tail
8420483591,tail
8401427568,tail
0684853523,tail
0394758285,tail
080411868X,tail
0553110845,tail
0330306839,tail
0671722859,tail
0060935464,tail
0399141464,tail
0399142851,tail
0425177068,tail
0425093328,tail
0449144763,tail
0786866195,tail
0140280553,tail
0385480016,tail
1400042070,tail
0425194515,tail
0805073205,tail
0156838389,tail
0061031550,tail
0061009504,tail
0307336565,tail
0743456866,tail
0451628055,tail
0671534726,tail
0671641778,tail
0671534718,tail
0590568825,tail
0064405036,tail
0843951036,tail
067942525X,tail
0553802488,tail
0399151273,tail
